"YearStart","YearEnd","LocationAbbr","LocationDesc","DataSource","Topic","Question","Response","DataValueUnit","DataValueType","DataValue","DataValueAlt","DataValueFootnoteSymbol","DatavalueFootnote","LowConfidenceLimit","HighConfidenceLimit","StratificationCategory1","Stratification1","StratificationCategory2","Stratification2","StratificationCategory3","Stratification3","GeoLocation","ResponseID","LocationID","TopicID","QuestionID","DataValueTypeID","StratificationCategoryID1","StratificationID1","StratificationCategoryID2","StratificationID2","StratificationCategoryID3","StratificationID3"
2021,2021,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","6.7",6.7,NA,NA,4.9,8.6,"Race/Ethnicity","Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","MEAN","RACE","HIS",NA,NA,NA,NA
2015,2015,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","4.4",4.4,NA,NA,2.9,6,"Race/Ethnicity","Multiracial, non-Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","MEAN","RACE","MRC",NA,NA,NA,NA
2016,2016,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","4.2",4.2,NA,NA,2.9,5.6,"Race/Ethnicity","Other, non-Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","AGEADJMEAN","RACE","OTH",NA,NA,NA,NA
2017,2017,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","4.5",4.5,NA,NA,2.6,6.3,"Race/Ethnicity","Multiracial, non-Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","MEAN","RACE","MRC",NA,NA,NA,NA
2021,2021,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","4.5",4.5,NA,NA,3.6,5.4,"Race/Ethnicity","Other, non-Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","MEAN","RACE","OTH",NA,NA,NA,NA
2011,2011,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","4.3",4.3,NA,NA,2.1,6.5,"Race/Ethnicity","Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","MEAN","RACE","HIS",NA,NA,NA,NA
2013,2013,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","3.3",3.3,NA,NA,2.2,4.3,"Race/Ethnicity","Multiracial, non-Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","AGEADJMEAN","RACE","MRC",NA,NA,NA,NA
2014,2014,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","2.6",2.6,NA,NA,1.9,3.2,"Race/Ethnicity","Other, non-Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","AGEADJMEAN","RACE","OTH",NA,NA,NA,NA
2020,2020,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","4.4",4.4,NA,NA,1.9,6.8,"Race/Ethnicity","Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","MEAN","RACE","HIS",NA,NA,NA,NA
2014,2014,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean",NA,NA,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",NA,NA,"Race/Ethnicity","Black, non-Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","MEAN","RACE","BLK",NA,NA,NA,NA
2018,2018,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean",NA,NA,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",NA,NA,"Race/Ethnicity","Black, non-Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","AGEADJMEAN","RACE","BLK",NA,NA,NA,NA
2016,2016,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean",NA,NA,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",NA,NA,"Race/Ethnicity","Black, non-Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","AGEADJMEAN","RACE","BLK",NA,NA,NA,NA
2011,2011,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","2.8",2.8,NA,NA,2.4,3.2,"Race/Ethnicity","White, non-Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","AGEADJMEAN","RACE","WHT",NA,NA,NA,NA
2020,2020,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","3.0",3,NA,NA,2.3,3.7,"Race/Ethnicity","Other, non-Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","AGEADJMEAN","RACE","OTH",NA,NA,NA,NA
2018,2018,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","3.2",3.2,NA,NA,2.3,4,"Race/Ethnicity","Other, non-Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","AGEADJMEAN","RACE","OTH",NA,NA,NA,NA
2017,2017,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean",NA,NA,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",NA,NA,"Race/Ethnicity","Black, non-Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","MEAN","RACE","BLK",NA,NA,NA,NA
